City,Model,TN,FP,FN,TP,Precision_Heatwave,Recall_Heatwave,F1_Score_Heatwave
Jakarta,LSTM,536,89,74,109,0.5505050505050505,0.5956284153005464,0.5721784776902887
Jakarta,Random Forest,596,29,128,55,0.6547619047619048,0.3005464480874317,0.41198501872659177
Bangkok,LSTM,675,77,9,47,0.3790322580645161,0.8392857142857143,0.5222222222222223
Bangkok,Random Forest,731,21,21,35,0.625,0.625,0.625
Manila,LSTM,652,85,11,60,0.41379310344827586,0.8450704225352113,0.5555555555555556
Manila,Random Forest,724,13,24,47,0.7833333333333333,0.6619718309859155,0.7175572519083969
Kuala Lumpur,LSTM,397,315,17,79,0.20050761421319796,0.8229166666666666,0.3224489795918367
Kuala Lumpur,Random Forest,690,22,71,25,0.5319148936170213,0.2604166666666667,0.34965034965034963
Singapore,LSTM,339,300,13,156,0.34210526315789475,0.9230769230769231,0.4992
Singapore,Random Forest,634,5,153,16,0.7619047619047619,0.09467455621301775,0.16842105263157894
Yogyakarta,LSTM,560,158,9,81,0.3389121338912134,0.9,0.49240121580547114
Yogyakarta,Random Forest,677,41,31,59,0.59,0.6555555555555556,0.6210526315789474
